snapshot_index,age_myr,phase,r_bubble_pc,r_shell_pc,r_if_pc,P_HII_code_Msun_per_pc_Myr2,P_HII_over_kB_K_cm3,Pb_over_kB_K_cm3,P_ram_over_kB_K_cm3,P_drive_over_kB_K_cm3
0,6.185964165870069e-07,energy,0.002313080872997626,0.0023131714585737776,0.0023131714585737776,213576569.5556929,1000962379062.0302,1000962379062.03,0.0,1000962379062.0302
1,3.0618596416587006e-05,energy,0.06949030067130951,0.06987430209970219,0.06987430209970219,265422.0056846975,1243944702.4468272,1243944702.4468272,0.0,1243944702.4468272
2,6.061859641658701e-05,energy,0.08546146431684844,0.0859945595679727,0.0859945595679727,236562.31084289486,1108688906.9822307,1108688906.9822304,0.0,1108688906.9822307
3,9.061859641658701e-05,energy,0.0957285509108677,0.09635952703451174,0.09635952703451174,224450.81739377044,1051926363.5906509,1051926363.5906508,0.0,1051926363.5906509
4,0.000120618596416587,energy,0.10362790485938707,0.10433705972202043,0.10433705972202043,216506.39560878093,1014693499.767067,1014693499.7670668,0.0,1014693499.767067
5,0.000150618596416587,energy,0.11019605377311852,0.11097443997088786,0.11097443997088786,210124.79653103257,984785066.419853,984785066.4198529,0.0,984785066.419853
6,0.000180618596416587,energy,0.11590310249557398,0.11674234785264084,0.11674234785264084,204489.88810943568,958376123.9445057,958376123.9445057,0.0,958376123.9445057
7,0.000210618596416587,energy,0.1210049332258555,0.12190615839124588,0.12190615839124588,199286.01566263495,933987303.7873081,933987303.787308,0.0,933987303.7873081
8,0.000240618596416587,energy,0.12565713262570735,0.12662170598233394,0.12662170598233394,194374.09206479948,910966750.8282989,910966750.8282988,0.0,910966750.8282989
9,0.000270618596416587,energy,0.12996169248856582,0.13098130910250116,0.13098130910250116,189686.2336503708,888996316.8945856,888996316.8945855,0.0,888996316.8945856
10,0.000300618596416587,energy,0.13398914805716203,0.13506506310966984,0.13506506310966984,185186.66364104097,867908328.1200469,867908328.1200467,0.0,867908328.1200469
11,0.00033061859641658704,energy,0.13779032197585173,0.13892383147584797,0.13892383147584797,180854.87828275358,847606690.2257892,847606690.2257892,0.0,847606690.2257892
12,0.00036061859641658707,energy,0.14140307245718392,0.1425954969405379,0.1425954969405379,176677.59895139092,828029170.7149839,828029170.7149839,0.0,828029170.7149839
13,0.0003906185964165871,energy,0.1448563478421836,0.1460985839704821,0.1460985839704821,172645.36847678848,809131446.9750584,809131446.9750583,0.0,809131446.9750584
14,0.0004206185964165871,energy,0.1481727336895311,0.14947640491208317,0.14947640491208317,168750.92627032846,790879491.0409068,790879491.0409068,0.0,790879491.0409068
15,0.00045061859641658714,energy,0.15137020347867852,0.15272590103383654,0.15272590103383654,164987.90525342495,773243462.5318996,773243462.5318997,0.0,773243462.5318996
16,0.00048061859641658716,energy,0.15446328531678408,0.1558829643658022,0.1558829643658022,161350.4470862999,756195905.3570724,756195905.3570722,0.0,756195905.3570724
17,0.0005106185964165871,energy,0.15746388141148346,0.15893782193187922,0.15893782193187922,157833.00444255682,739710821.0417857,739710821.0417856,0.0,739710821.0417857
18,0.0005406185964165871,energy,0.1603818590442103,0.16192235021798448,0.16192235021798448,154430.19669980387,723762992.3976492,723762992.3976492,0.0,723762992.3976492
19,0.0005706185964165871,energy,0.16322548408190451,0.16482249536537075,0.16482249536537075,151136.78116622768,708327848.6710399,708327848.6710398,0.0,708327848.6710399
20,0.000600618596416587,energy,0.16600174617416466,0.16765633709219827,0.16765633709219827,147947.6567989616,693381482.9698578,693381482.9698578,0.0,693381482.9698578
21,0.000630618596416587,energy,0.16871658373388795,0.1704415571004544,0.1704415571004544,144857.93782960076,678900997.3218381,678900997.3218379,0.0,678900997.3218381
22,0.000660618596416587,energy,0.171375120636047,0.1731599864216005,0.1731599864216005,141862.73476823253,664863476.3132463,664863476.3132461,0.0,664863476.3132463
23,0.000690618596416587,energy,0.17398178991162436,0.1758276423300558,0.1758276423300558,138957.30073895553,651246672.9148073,651246672.9148072,0.0,651246672.9148073
24,0.0007206185964165869,energy,0.17654043254336357,0.17844838116155134,0.17844838116155134,136137.09245683535,638029294.2604257,638029294.2604257,0.0,638029294.2604257
25,0.0007506185964165869,energy,0.1790544129751836,0.1810379825630814,0.1810379825630814,133397.68686398785,625190610.9482217,625190610.9482216,0.0,625190610.9482217
26,0.0007806185964165869,energy,0.1815267105441171,0.18357482007109027,0.18357482007109027,130734.7462174548,612710293.4190105,612710293.4190103,0.0,612710293.4190105
27,0.0008106185964165868,energy,0.18395996100062728,0.1860737840170637,0.1860737840170637,128144.06274497729,600568621.2430673,600568621.2430673,0.0,600568621.2430673
28,0.0008406185964165868,energy,0.18635649140641827,0.18853722855645505,0.18853722855645505,125621.58463296614,588746604.9171042,588746604.9171041,0.0,588746604.9171042
29,0.0008706185964165868,energy,0.18871837920953038,0.1909672616879362,0.1909672616879362,123163.38789710657,577225854.0311468,577225854.0311465,0.0,577225854.0311468
30,0.0009006185964165867,energy,0.1910474862107318,0.19337902677122848,0.19337902677122848,120765.68280594591,565988607.3737531,565988607.3737531,0.0,565988607.3737531
31,0.0009306185964165867,energy,0.1933455000865109,0.19574792966388488,0.19574792966388488,118424.74404582911,555017405.6382836,555017405.6382835,0.0,555017405.6382836
32,0.0009606185964165867,energy,0.19561394312872515,0.19808861144099577,0.19808861144099577,116136.94545227972,544295254.1973372,544295254.1973372,0.0,544295254.1973372
33,0.0009906185964165867,energy,0.19785418032162877,0.20040248553672252,0.20040248553672252,113898.79989939724,533805810.0510955,533805810.05109537,0.0,533805810.0510955
34,0.0010206185964165867,energy,0.20006745059181225,0.2026905587846008,0.2026905587846008,111725.18837549786,523618815.4446874,523618815.44468737,0.0,523618815.4446874
35,0.0010506185964165868,energy,0.20225488492581092,0.20495305590280521,0.20495305590280521,109669.12712558758,513982739.89347494,513982739.8934749,0.0,513982739.89347494
36,0.001080618596416587,energy,0.20441753308053223,0.20719103293944435,0.20719103293944435,107720.61328609334,504850703.30129224,504850703.3012922,0.0,504850703.30129224
37,0.001110618596416587,energy,0.2065563821248561,0.2094055213077826,0.2094055213077826,105868.60617219766,496170961.6488193,496170961.6488193,0.0,496170961.6488193
38,0.001140618596416587,energy,0.20867236055901328,0.21161211395960475,0.21161211395960475,104103.66005451621,487899245.94261664,487899245.9426166,0.0,487899245.94261664
39,0.0011706185964165871,energy,0.21076635138481,0.2137826371358634,0.2137826371358634,102417.62558508021,479997362.8979638,479997362.8979638,0.0,479997362.8979638
40,0.0012006185964165872,energy,0.21283918485859102,0.21591747111690054,0.21591747111690054,100803.45383789501,472432276.5421035,472432276.54210347,0.0,472432276.5421035
