t,R2,v2,rShell,R_IF
0.0014701956,0.20062591,43.053196,0.20084014,0.20079836
0.0015001956,0.20191191,42.682966,0.20212717,0.20208468
0.0015301956,0.20318703,42.327255,0.20340019,0.20335699
0.0015601956,0.20445168,41.985188,0.20466527,0.20462198
0.0015901956,0.20570626,41.655851,0.20592092,0.20587691
0.0016201956,0.20695114,41.338632,0.20716626,0.20712216
0.0016501956,0.20818668,41.032721,0.20839973,0.2083549
0.0016801956,0.20941321,40.737594,0.20962672,0.2095818
0.0017101956,0.21063103,40.45255,0.21084567,0.2108
0.0017401956,0.21184045,40.177151,0.21205558,0.21200981
0.0017701956,0.21304175,39.910769,0.21325482,0.2132083
0.0018001956,0.21423518,39.653028,0.2144494,0.21440213
0.0018301956,0.215421,39.403483,0.21563574,0.21558836
0.0018601956,0.21659946,39.161606,0.21681536,0.21676722
0.0018901956,0.21777077,38.927111,0.21798721,0.21793895
0.0019201956,0.21893515,38.699526,0.21915278,0.21910375
0.0019501956,0.2200928,38.478607,0.22030774,0.22025859
0.0019801956,0.22124392,38.263923,0.22146007,0.22141013
0.0020101956,0.22238869,38.055276,0.2226054,0.22255534
0.0020401956,0.22352728,37.852285,0.22374522,0.22369437
0.0020701956,0.22465987,37.654774,0.22487904,0.22482741
0.0021001956,0.22578661,37.46249,0.22600637,0.2259546
0.0021301956,0.22690766,37.2751,0.22712538,0.2270728
0.0021601956,0.22802316,37.092465,0.22824147,0.22818875
0.0021901956,0.22913325,36.914291,0.22935282,0.22929929
0.0022201956,0.23023806,36.740466,0.23045823,0.23040455
0.0022501956,0.23133771,36.570716,0.23155916,0.23150467
0.0022801956,0.23243233,36.404946,0.2326544,0.23259976
0.0023101956,0.23352204,36.242907,0.2337454,0.23368993
0.0023401956,0.23460694,36.08452,0.23483093,0.23477531
0.0023701956,0.23568714,35.929554,0.23590906,0.23585261
0.0024001956,0.23676274,35.777941,0.23698597,0.23692868
0.0024301956,0.23783384,35.629549,0.23805771,0.23800026
0.0024601956,0.23890053,35.484174,0.23912573,0.23906743
0.0024901956,0.23996291,35.34177,0.24018875,0.24013029
0.0025201956,0.24102106,35.202147,0.24124823,0.24118892
0.0025501956,0.24207506,35.06527,0.24230289,0.24224341
0.0025801956,0.24312499,34.930963,0.24335417,0.24329383
0.0026101956,0.24417094,34.799198,0.24440078,0.24434026
0.0026401956,0.24521296,34.669812,0.24544417,0.24538278
0.0026701956,0.24625114,34.542785,0.24648303,0.24642146
0.0027001956,0.24728555,34.417964,0.2475188,0.24745636
0.0027301956,0.24831624,34.295335,0.24855017,0.24848755
0.0027601956,0.24934328,34.174756,0.2495751,0.24951159
0.0027901956,0.25036674,34.056213,0.25059994,0.25053554
0.0028201956,0.25138667,33.939641,0.25162055,0.25155597
0.0028501956,0.25240313,33.824909,0.2526384,0.25257292
0.0028801956,0.25341617,33.712018,0.25365214,0.25358647
0.0029101956,0.25442586,33.600844,0.25466323,0.25459666
0.0034101956,0.27082343,32.093229,0.2710969,0.27101684
0.0037256743,0.28078884,31.122438,0.28108374,0.28099519
0.0039762679,0.28849311,30.388155,0.28880597,0.28871037
0.0041753215,0.29448536,29.832367,0.29480905,0.29470778
0.0043334354,0.29916819,29.409163,0.29950014,0.2993945
0.0044590297,0.30284112,29.084742,0.30318443,0.3030748
0.0045590297,0.3057369,28.834029,0.30608446,0.30597286
0.0046590297,0.30860798,28.590796,0.30896056,0.30884613
0.0047590297,0.31145511,28.355006,0.31181261,0.31169537
0.0048590297,0.31427904,28.126501,0.31464134,0.3145213
0.0049590297,0.31708048,27.905115,0.31744748,0.31732466
0.0050849222,0.32057642,27.637157,0.32094872,0.3208229
0.0052434116,0.32493074,27.315898,0.32530999,0.32517996
0.0054429378,0.33034227,26.935254,0.33072457,0.33058999
0.0056941264,0.33705092,26.490224,0.33744289,0.33730241
0.0060103542,0.34534467,25.978141,0.34574843,0.34560058
0.0064084614,0.35556777,25.399323,0.35598163,0.3558238
0.0069096486,0.36813062,24.757955,0.36855778,0.36838784
0.0075406059,0.3835202,24.055785,0.38397073,0.38378515
0.0080417932,0.39544511,23.548252,0.39590914,0.39571067
0.0086727505,0.41011552,22.977046,0.41060248,0.4103885
0.0094670788,0.42810196,22.340592,0.42861452,0.42837839
0.010098036,0.44204444,21.870965,0.44258064,0.44232791
0.010892364,0.45919589,21.336597,0.45975845,0.45948209
0.011892364,0.48021654,20.734794,0.48081899,0.48051343
0.012686693,0.49650122,20.2845,0.49713615,0.49680648
0.013686693,0.51651672,19.769332,0.51718673,0.51682569
0.014481021,0.53206038,19.380316,0.53276427,0.53237738
0.015481021,0.55120646,18.929779,0.55195395,0.55153354
0.016739946,0.57469706,18.412941,0.57550117,0.5750367
0.017739946,0.592907,18.020778,0.59375719,0.59325651
0.018998872,0.61529599,17.566587,0.616206,0.61565786
0.020583765,0.64270421,17.045736,0.64369212,0.64308147
0.02184269,0.66390529,16.650019,0.66495696,0.66429468
0.023427583,0.68991553,16.192456,0.69104843,0.69032008
0.024686509,0.71007405,15.843886,0.71127481,0.7104906
0.026271402,0.73485038,15.437428,0.73613785,0.73528148
0.028266664,0.7651652,14.970483,0.76655874,0.76561363
0.029851558,0.7886039,14.619057,0.79008389,0.78906536
0.03184682,0.81735398,14.215388,0.81894164,0.81783099
0.034358706,0.85246167,13.759067,0.85418354,0.8529571
0.036353969,0.87956499,13.420317,0.88139428,0.8800742
0.038865855,0.91277127,13.034649,0.91472313,0.91328543
0.042028133,0.95327452,12.602201,0.95539234,0.95380755
0.044540019,0.98451524,12.283199,0.98676629,0.9850623
0.047702297,1.0227739,11.938542,1.0251756,1.023325
0.051683368,1.0696641,11.651876,1.07224,1.0702215
0.054845646,1.1062393,11.496134,1.1089486,1.1068107
0.058826718,1.1517221,11.372525,1.1545702,1.1522964
0.06383859,1.2084719,11.296621,1.2114773,1.2090512
0.070148164,1.2796298,11.286563,1.282809,1.2802167
0.075160036,1.3362259,11.312571,1.3395055,1.3367983
0.075160036,1.3362259,11.312571,1.3395055,1.3367983
0.077160036,1.3588699,11.333402,1.3676115,1.3615448
0.078748692,1.3767209,11.142672,1.3957933,1.3847974
0.080010607,1.3906533,10.940762,1.4252493,1.4084382
0.081012982,1.4015326,10.767461,1.4550556,1.4324402
0.082012982,1.4122115,10.59157,1.4911519,1.4620329
0.083012982,1.4227147,10.416011,1.5327911,1.4970369
0.084012982,1.4330435,10.24279,1.5775369,1.5356532
0.085012982,1.4432009,10.073085,1.6223206,1.5751767
0.086012982,1.4531907,9.9075562,1.6640414,1.6127051
0.087012982,1.4630173,9.7465185,1.7012572,1.6466907
0.088012982,1.4726851,9.5900773,1.733451,1.6763681
0.089012982,1.4821988,9.438208,1.7607969,1.7017806
0.090012982,1.491563,9.2908011,1.7844317,1.7239238
0.091012982,1.5007818,9.1477024,1.8048735,1.7431307
0.092012982,1.5098597,9.0087389,1.8231312,1.7603318
0.093012982,1.5188006,8.8737284,1.8395782,1.7759105
0.094012982,1.5276084,8.7424837,1.8549037,1.7904624
0.095012982,1.5362867,8.6148251,1.8690965,1.8039474
0.096012982,1.5448392,8.4905789,1.8823843,1.8165407
0.097012982,1.553269,8.3695812,1.8954032,1.8289623
0.097943077,1.5610022,8.259816,1.9063705,1.8399735
0.099943077,1.5772904,8.0297987,1.9319068,1.8637381
0.10246093,1.5971601,7.7552142,1.9599845,1.8905619
0.10563071,1.6212242,7.4307629,1.9946008,1.9236418
0.10962124,1.6501137,7.0517121,2.0356787,1.9628934
0.11464501,1.6844294,6.6141994,2.0850256,2.0101105
0.12096957,1.7246646,6.1154357,2.1430992,2.0657127
0.12893171,1.7710881,5.5536159,2.2100399,2.129816
0.13895546,1.8235666,4.9274015,2.2864145,2.2030836
0.1515746,1.8812967,4.234794,2.3706146,2.2838873
0.16746117,1.9423886,3.4712602,2.4599671,2.3698306
0.18746117,2.0031954,2.6265049,2.5484532,2.454909
0.20334773,2.040016,2.0164847,2.6021229,2.5066032
0.21596688,2.062545,1.557622,2.6346739,2.5379606
0.22599062,2.0763811,1.2047174,2.6543161,2.5569495
0.23395277,2.0848756,0.92979697,2.666101,2.5682803
0.24027732,2.0900725,0.71399885,2.6730356,2.5750047
0.24530109,2.0932315,0.54381745,2.6773068,2.5791711
0.24929162,2.0951329,0.40923044,2.6796092,2.5813419
0.25246141,2.096261,0.30261247,2.6812006,2.583002
0.25497926,2.0969165,0.21805414,2.6819377,2.5836611
0.25697926,2.0972855,0.15095294,2.6822545,2.5839867
0.25856791,2.097483,0.097681374,2.6823754,2.5841204
0.25982983,2.0975795,0.055378988,2.6819653,2.5837132
0.2608322,2.0976182,0.021782224,2.6819242,2.5836855
0.2618322,2.0976232,-0.011732372,2.6818374,2.5836141
0.2628322,2.0975947,-0.045246335,2.6817048,2.5834991
0.2638322,2.0975327,-0.078760452,2.6816036,2.5833402
0.2648322,2.0974372,-0.11227486,2.6813795,2.5831377
0.2658322,2.0973082,-0.14579229,2.6811095,2.5828915
0.2668322,2.0971456,-0.17931406,2.6807939,2.5826016
0.26809113,2.0968933,-0.22152394,2.6803314,2.5821745
0.26967602,2.0965001,-0.27468029,2.6793003,2.5811044
0.27167128,2.0958853,-0.34163261,2.6782742,2.5801476
0.27418317,2.0949212,-0.42599174,2.6764551,2.5782625
0.27734545,2.093406,-0.53232866,2.6741688,2.5760425
0.28132652,2.0910198,-0.66648354,2.6702744,2.5721934
0.28633839,2.0872552,-0.83594655,2.6641408,2.5660429
0.29264796,2.0813048,-1.0504369,2.6546505,2.5565298
0.30059125,2.0718813,-1.3227983,2.6405238,2.5423985
0.30690082,2.0628466,-1.5413852,2.626685,2.5285017
0.3148441,2.049499,-1.8200992,2.6067563,2.5085107
0.3248441,2.0295172,-2.1777637,2.5770761,2.4786176
0.33743336,1.9992012,-2.6413551,2.5327597,2.4341541
0.35328229,1.9525475,-3.2520438,2.4650832,2.3660693
0.37323491,1.8795511,-4.0780793,2.3611099,2.2615418
0.39835378,1.7628113,-5.247657,2.198341,2.0977881
0.4183064,1.6476436,-6.3257118,2.0409312,1.9394061
0.43944701,1.5,-7.6924272,1.8439166,1.7412762
